"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"hsa-miR-20a(1)",1083.42985105604,0.366341756587749,0.642167133953539,0.570477274868219,0.568354031109408,0.894320174153876,1
"hsa-miR-20aSTAR(1)",15.8137406896997,-0.241575191031331,0.665608992375399,-0.362938592775327,0.716650756689927,0.901505107380754,1
"hsa-miR-20b(1)",107.871665556221,1.14815692583152,0.715516089398756,1.60465563645998,0.108569610137285,0.760324285233523,1
"hsa-miR-210(1)",64.0762593549882,0.591828565797497,0.539897881208199,1.09618612407422,0.272997330759471,0.774839881199967,1
"hsa-miR-21STAR(1)",115.517253499764,0.895695264430663,0.619132335851527,1.44669436978891,0.147982542051391,0.77193106985349,1
"hsa-miR-221(1)",3264.61738990113,0.536962699213119,0.563120525788791,0.953548440559803,0.340312265076658,0.821474192513143,1
"hsa-miR-221STAR(1)",25.7310022597915,0.114199793531654,0.539591256902512,0.211641297131481,0.832386888599928,0.924495273813855,1
"hsa-miR-222(1)",657.760240550006,0.222864310576196,0.549514266977628,0.405566013421212,0.685061505117777,0.901505107380754,1
"hsa-miR-223(1)",5095.9416816652,-0.288008383392819,0.594869644334628,-0.484153774084339,0.628276740415717,0.901505107380754,1
"hsa-miR-223STAR(1)",51.9595687161584,-0.194251208146037,0.489870216981019,-0.396536064885046,0.691709607756843,0.901505107380754,1
"hsa-miR-224(1)",87.5381785476864,0.233785112285698,0.587923949050981,0.397645159145278,0.69089176743944,0.901505107380754,1
"hsa-miR-22STAR(1)",79.3713196832686,0.628682975708058,0.556482054689306,1.12974528182955,0.258583570803518,0.77193106985349,1
"hsa-miR-2355-3p(1)",17.8453047188781,0.174392407896354,0.592828068412013,0.294170295214754,0.76862777790703,0.901505107380754,1
"hsa-miR-2355-5p(1)",15.6763731597448,0.0434026226926236,0.65266011142763,0.0665011112716611,0.946978873003134,0.961165822411421,1
"hsa-miR-23a(1)",1677.03936651884,0.164321440564649,0.574024562065992,0.286262037243205,0.774677431879529,0.901505107380754,1
"hsa-miR-23aSTAR(1)",17.4804473999208,-0.133840987827132,0.56106165261192,-0.23854951983273,0.81145491237912,0.917783435527121,1
"hsa-miR-23b(1)",213.331969248349,-0.355069232888362,0.571182229562191,-0.621639145112272,0.534179175033696,0.869228402088236,1
"hsa-miR-24(2)",4313.94605835768,-0.0591080733769082,0.54705886180926,-0.10804700828979,0.913958403221894,0.960226629010807,1
"hsa-miR-24-2STAR(1)",46.7290933807751,-0.13851535539942,0.545259415036093,-0.254035696733913,0.799467980459159,0.914159589470178,1
"hsa-miR-25(1)",2152.4443538436,0.991506866192476,0.570950448600712,1.73659004668875,0.0824595576337742,0.760324285233523,1
"hsa-miR-26a(2)",7534.36077797788,0.104322185095809,0.610282046448911,0.170940937395808,0.864270206988809,0.948247878922944,1
"hsa-miR-26b(1)",2765.37833483474,0.334391810601015,0.573814798015647,0.582752155847847,0.560060157116348,0.894320174153876,1
"hsa-miR-26bSTAR(1)",19.0223732958935,0.0876832951162088,0.615835662016581,0.142380996301978,0.886779072207063,0.95278832690479,1
"hsa-miR-27a(1)",3444.39626003428,-0.576953283913991,0.724866472590952,-0.795944226599056,0.426064453601711,0.869058537647469,1
"hsa-miR-27b(1)",1513.09043594729,0.169220982842061,0.583348080391269,0.290085779880444,0.771750614310278,0.901505107380754,1
"hsa-miR-28-3p(1)",295.425006248023,0.317436897267347,0.492027542906384,0.645160828583421,0.518822967864251,0.869228402088236,1
"hsa-miR-28-5p(1)",283.961756555044,0.261723932709434,0.555010873779394,0.4715654144345,0.637237017992465,0.901505107380754,1
"hsa-miR-29a(1)",771.285466132575,0.763436607187782,0.526599542689983,1.44974794943418,0.147128819170477,0.77193106985349,1
"hsa-miR-29b(2)",168.521301625845,0.442358492106867,0.63557233897485,0.696000226851237,0.486428687681641,0.869228402088236,1
"hsa-miR-29c(1)",282.712268838367,1.23754469072639,0.596302501377176,2.07536390987503,0.0379528203786362,0.760324285233523,1
"hsa-miR-301a(1)",124.87591030234,0.0108901429670473,0.518532806924873,0.0210018398481489,0.983244188013749,0.994146613079219,1
